fold,fraction,repeat,lr,weight_decay,n_train,n_val,n_test,val_r2_best,test_r2_mean,test_r2_F,test_r2_F_NF,test_r2_NF_F,test_r2_NF,model_path
1,0.05,0,0.0003,0.001,1155,7699,7700,0.0822198837995529,0.0753617286682128,0.1165408492088317,0.0587946772575378,0.1134531497955322,0.0126582384109497,
2,0.05,0,0.0003,0.001,1155,7699,7700,0.0572822242975235,0.0456729531288147,0.05736130475997925,0.04763108491897583,0.10430383682250977,-0.026604413986206055,
3,0.05,0,0.0003,0.001,1155,7699,7700,0.08349254727363586,0.07737782597541809,0.1470954418182373,0.045129597187042236,0.09800940752029419,0.019276857376098633,
4,0.05,0,0.0003,0.001,1155,7699,7700,0.08402886986732483,0.060281917452812195,0.09031045436859131,0.0781395435333252,0.06500411033630371,0.0076735615730285645,
5,0.05,0,0.0003,0.001,1155,7700,7699,0.06784647703170776,0.0522160530090332,0.09755551815032959,0.02464669942855835,0.074740469455719,0.011921525001525879,
1,0.1,0,0.0003,0.001,2310,7699,7700,0.1371963918209076,0.12955240905284882,0.21789228916168213,0.11368870735168457,0.13127636909484863,0.05535227060317993,
2,0.1,0,0.0003,0.001,2310,7699,7700,0.130819633603096,0.11002564430236816,0.15658915042877197,0.09781813621520996,0.10793131589889526,0.07776397466659546,
3,0.1,0,0.0003,0.001,2310,7699,7700,0.12652811408042908,0.12170614302158356,0.1584937572479248,0.12352830171585083,0.12463504076004028,0.08016747236251831,
4,0.1,0,0.0003,0.001,2310,7699,7700,0.1624322086572647,0.15025046467781067,0.1763353943824768,0.170451819896698,0.15344089269638062,0.10077375173568726,
5,0.1,0,0.0003,0.001,2310,7700,7699,0.13040849566459656,0.12069913744926453,0.16760516166687012,0.10682576894760132,0.14970839023590088,0.05865722894668579,
1,0.25,0,0.0003,0.001,5775,7699,7700,0.34734076261520386,0.34451162815093994,0.4431065320968628,0.3739709258079529,0.3078463077545166,0.2531227469444275,
2,0.25,0,0.0003,0.001,5775,7699,7700,0.37462280690670013,0.3533790558576584,0.436323344707489,0.4110867381095886,0.3169689178466797,0.24913722276687622,
3,0.25,0,0.0003,0.001,5775,7699,7700,0.36184513568878174,0.33866381645202637,0.39724284410476685,0.3809007406234741,0.33275794982910156,0.24375373125076294,
4,0.25,0,0.0003,0.001,5775,7699,7700,0.383669376373291,0.38087595999240875,0.4520297646522522,0.41484081745147705,0.3564021587371826,0.30023109912872314,
5,0.25,0,0.0003,0.001,5775,7700,7699,0.3524429053068161,0.35148774087429047,0.44273853302001953,0.3940432667732239,0.3213290572166443,0.24784010648727417,
1,0.5,0,0.0003,0.001,11550,7699,7700,0.5642449855804443,0.5230574458837509,0.6485764980316162,0.5611085295677185,0.5094831585884094,0.3730615973472595,
2,0.5,0,0.0003,0.001,11550,7699,7700,0.6079407930374146,0.5807030349969864,0.6676545143127441,0.6297954320907593,0.5499621629714966,0.47540003061294556,
3,0.5,0,0.0003,0.001,11550,7699,7700,0.5888489335775375,0.5793737769126892,0.6695413589477539,0.6426382064819336,0.5569104552268982,0.44840508699417114,
4,0.5,0,0.0003,0.001,11550,7699,7700,0.6102870255708694,0.5989955067634583,0.6880685091018677,0.652506947517395,0.5714448690414429,0.48396170139312744,
5,0.5,0,0.0003,0.001,11550,7700,7699,0.5229642540216446,0.5403823703527451,0.6521933078765869,0.6012275218963623,0.5129220485687256,0.3951866030693054,
1,1.0,0,0.0003,0.001,23100,7699,7700,0.7594862878322601,0.711778461933136,0.7728161811828613,0.729316234588623,0.676927924156189,0.6680535078048706,F:\model_outputs_2020_resnet_optimized\model_fold1_rep0_lr0.0003_wd0.001.pth
2,1.0,0,0.0003,0.001,23100,7699,7700,0.7558014690876007,0.7472263276576996,0.799479603767395,0.7803657054901123,0.7180012464523315,0.6910587549209595,F:\model_outputs_2020_resnet_optimized\model_fold2_rep0_lr0.0003_wd0.001.pth
3,1.0,0,0.0003,0.001,23100,7699,7700,0.8089941740036011,0.7907039821147919,0.842133104801178,0.8111954927444458,0.7611503601074219,0.7483369708061218,F:\model_outputs_2020_resnet_optimized\model_fold3_rep0_lr0.0003_wd0.001.pth
4,1.0,0,0.0003,0.001,23100,7699,7700,0.7702060788869858,0.6981133222579956,0.75361567735672,0.7244254946708679,0.6632356643676758,0.6511764526367188,F:\model_outputs_2020_resnet_optimized\model_fold4_rep0_lr0.0003_wd0.001.pth
5,1.0,0,0.0003,0.001,23100,7700,7699,0.7578178495168686,0.735473096370697,0.8030286431312561,0.7636426687240601,0.6926853656768799,0.682535707950592,F:\model_outputs_2020_resnet_optimized\model_fold5_rep0_lr0.0003_wd0.001.pth
