FID,省级,市级,市代码,区县级,区县码,乡镇级,乡镇码,省代码
0,甘肃省,兰州市,6.201E+11,城关区,6.20102E+11,青白石街道,6.20102E+11,620000
1,山东省,菏泽市,3.717E+11,郓城县,3.71725E+11,黄泥冈镇,3.71725E+11,370000
2,山西省,大同市,1.402E+11,云冈区,1.40214E+11,晋华宫街道办事处,1.40214E+11,140000
3,湖南省,怀化市,4.312E+11,溆浦县,4.31224E+11,均坪镇,4.31224E+11,430000
4,辽宁省,葫芦岛市,2.114E+11,绥中县,2.11421E+11,小庄子镇,2.11421E+11,210000
5,湖南省,湘潭市,4.303E+11,雨湖区,4.30302E+11,楠竹山镇,4.30302E+11,430000
6,黑龙江省,牡丹江市,2.31E+11,海林市,2.31083E+11,新安朝鲜族镇,2.31083E+11,230000
7,黑龙江省,伊春市,2.307E+11,西林区,2.30705E+11,强达社区,2.30705E+11,230000
8,甘肃省,张掖市,6.207E+11,肃南裕固族自治县,6.20721E+11,大河乡,6.20721E+11,620000
9,云南省,曲靖市,5.303E+11,会泽县,5.30326E+11,待补镇,5.30326E+11,530000
10,陕西省,安康市,6.109E+11,旬阳县,6.10928E+11,麻坪镇,6.10928E+11,610000
11,山东省,泰安市,3.709E+11,新泰市,3.70982E+11,翟镇,3.70982E+11,370000
12,河南省,漯河市,4.111E+11,郾城区,4.11103E+11,孟庙镇,4.11103E+11,410000
13,江苏省,常州市,3.204E+11,钟楼区,3.20404E+11,五星街道,3.20404E+11,320000
14,河南省,信阳市,4.115E+11,淮滨县,4.11527E+11,邓湾乡,4.11527E+11,410000
15,甘肃省,陇南市,6.212E+11,成县,6.21221E+11,鸡峰镇,6.21221E+11,620000
16,安徽省,滁州市,3.411E+11,天长市,3.41181E+11,大通镇,3.41181E+11,340000
17,安徽省,池州市,3.417E+11,东至县,3.41721E+11,香隅镇,3.41721E+11,340000
18,山西省,运城市,1.408E+11,盐湖区,1.40802E+11,大渠街道办事处,1.40802E+11,140000
19,四川省,南充市,5.113E+11,西充县,5.11325E+11,李桥乡,5.11325E+11,510000
20,山西省,长治市,1.404E+11,潞州区,1.40403E+11,故县街道办事处,1.40411E+11,140000
21,安徽省,芜湖市,3.402E+11,芜湖经济技术开发区,3.40271E+11,龙山街道,3.40271E+11,340000
22,海南省,儋州市,4.604E+11,儋州市,4.604E+11,兰洋镇,4.604E+11,460000
23,天津市,市辖区,1.201E+11,红桥区,1.20106E+11,邵公庄街道,1.20106E+11,120000
24,山西省,大同市,1.402E+11,平城区,1.40213E+11,开源街街道办事处,1.40213E+11,140000
25,江苏省,南京市,3.201E+11,六合区,3.20116E+11,化工园区,3.20116E+11,320000
26,辽宁省,大连市,2.102E+11,金州区,2.10213E+11,海青岛街道,2.10213E+11,210000
27,湖北省,黄冈市,4.211E+11,英山县,4.21124E+11,桃花冲林场,4.21124E+11,420000
28,河北省,保定市,1.306E+11,博野县,1.30637E+11,程委镇,1.30637E+11,130000
29,河南省,焦作市,4.108E+11,马村区,4.10804E+11,马村街道办事处,4.10804E+11,410000
30,安徽省,阜阳市,3.412E+11,界首市,3.41282E+11,顾集镇,3.41282E+11,340000
31,河南省,驻马店市,4.117E+11,驿城区,4.11702E+11,金桥街道办事处,4.11703E+11,410000
32,湖北省,荆州市,4.21E+11,松滋市,4.21087E+11,街河市镇,4.21087E+11,420000
33,吉林省,延边朝鲜族自治州,2.224E+11,延吉市,2.22401E+11,朝阳川镇,2.22401E+11,220000
34,湖北省,十堰市,4.203E+11,丹江口市,4.20381E+11,武当山特区,4.20381E+11,420000
35,黑龙江省,牡丹江市,2.31E+11,林口县,2.31025E+11,刁翎镇,2.31025E+11,230000
36,西藏自治区,昌都市,5.403E+11,类乌齐县,5.40323E+11,甲桑卡乡,5.40323E+11,540000
37,西藏自治区,昌都市,5.403E+11,察雅县,5.40325E+11,肯通乡,5.40325E+11,540000
38,内蒙古自治区,呼伦贝尔市,1.507E+11,牙克石市,1.50782E+11,绰河源镇,1.50782E+11,150000
39,福建省,厦门市,3.502E+11,思明区,3.50203E+11,中华街道,3.50203E+11,350000
40,广西壮族自治区,南宁市,4.501E+11,横县,4.50127E+11,那阳镇,4.50127E+11,450000
41,安徽省,六安市,3.415E+11,裕安区,3.41503E+11,六安市裕安区经济开发区,3.41503E+11,340000
42,云南省,文山壮族苗族自治州,5.326E+11,文山市,5.32601E+11,秉烈彝族乡,5.32601E+11,530000
43,山东省,烟台市,3.706E+11,龙口市,3.70681E+11,石良镇,3.70681E+11,370000
44,四川省,凉山彝族自治州,5.134E+11,普格县,5.13428E+11,瓦洛乡,5.13428E+11,510000
45,辽宁省,葫芦岛市,2.114E+11,兴城市,2.11481E+11,羊安满族乡,2.11481E+11,210000
46,江西省,南昌市,3.601E+11,东湖区,3.60102E+11,沙井街道办事处（红谷滩新区）,3.60102E+11,360000
47,新疆维吾尔自治区,伊犁哈萨克自治州,6.54E+11,新源县,6.54025E+11,阿勒玛勒镇,6.54025E+11,650000
48,四川省,成都市,5.101E+11,简阳市,5.10185E+11,老龙乡,5.10185E+11,510000
49,四川省,德阳市,5.106E+11,中江县,5.10623E+11,高店乡,5.10623E+11,510000
50,江西省,九江市,3.604E+11,修水县,3.60424E+11,西港镇,3.60424E+11,360000
51,四川省,泸州市,5.105E+11,江阳区,5.10502E+11,方山镇,5.10502E+11,510000
52,新疆维吾尔自治区,和田地区,6.532E+11,皮山县,6.53223E+11,木吉镇,6.53223E+11,650000
53,四川省,资阳市,5.12E+11,乐至县,5.12022E+11,劳动镇,5.12022E+11,510000
54,湖北省,黄冈市,4.211E+11,麻城市,4.21181E+11,顺河镇,4.21181E+11,420000
55,黑龙江省,哈尔滨市,2.301E+11,巴彦县,2.30126E+11,黑山镇,2.30126E+11,230000
56,新疆维吾尔自治区,巴音郭楞蒙古自治州,6.528E+11,博湖县,6.52829E+11,博斯腾湖乡,6.52829E+11,650000
57,黑龙江省,佳木斯市,2.308E+11,同江市,2.30881E+11,同江镇,2.30881E+11,230000
58,山西省,朔州市,1.406E+11,平鲁区,1.40603E+11,陶村乡,1.40603E+11,140000
59,黑龙江省,鹤岗市,2.304E+11,兴山区,2.30407E+11,岭南街道办事处,2.30407E+11,230000
60,河南省,商丘市,4.114E+11,夏邑县,4.11426E+11,韩道口镇,4.11426E+11,410000
61,河北省,保定市,1.306E+11,涞源县,1.3063E+11,东团堡乡,1.3063E+11,130000
62,新疆维吾尔自治区,昌吉回族自治州,6.523E+11,呼图壁县,6.52323E+11,兵团一零五团,6.52324E+11,650000
63,甘肃省,张掖市,6.207E+11,山丹县,6.20725E+11,大马营镇,6.20725E+11,620000
64,河北省,廊坊市,1.31E+11,霸州市,1.31081E+11,裕华街道办事处,1.31081E+11,130000
65,四川省,凉山彝族自治州,5.134E+11,甘洛县,5.13435E+11,团结乡,5.13435E+11,510000
66,云南省,红河哈尼族彝族自治州,5.325E+11,石屏县,5.32525E+11,哨冲镇,5.32525E+11,530000
67,新疆维吾尔自治区,喀什地区,6.531E+11,莎车县,6.53125E+11,艾力西湖镇,6.53125E+11,650000
68,四川省,凉山彝族自治州,5.134E+11,越西县,5.13434E+11,白果乡,5.13434E+11,510000
69,辽宁省,鞍山市,2.103E+11,铁西区,2.10303E+11,北陶官街道办事处,2.10303E+11,210000
70,重庆市,县,5.002E+11,酉阳土家族苗族自治县,5.00242E+11,龙潭镇,5.00242E+11,500000
71,陕西省,咸阳市,6.104E+11,秦都区,6.10402E+11,钓台街道办事处,6.10402E+11,610000
72,四川省,南充市,5.113E+11,西充县,5.11325E+11,金源乡,5.11325E+11,510000
73,广东省,潮州市,4.451E+11,湘桥区,4.45102E+11,磷溪镇,4.45102E+11,440000
74,贵州省,黔南布依族苗族自治州,5.227E+11,贵定县,5.22723E+11,宝山街道办事处,5.22723E+11,520000
75,陕西省,榆林市,6.108E+11,绥德县,6.10826E+11,张家砭镇,6.10826E+11,610000
76,云南省,丽江市,5.307E+11,华坪县,5.30723E+11,中心镇,5.30723E+11,530000
77,四川省,凉山彝族自治州,5.134E+11,会东县,5.13426E+11,铁柳镇,5.13426E+11,510000
78,四川省,巴中市,5.119E+11,平昌县,5.11923E+11,笔山镇,5.11923E+11,510000
79,山东省,东营市,3.705E+11,利津县,3.70522E+11,陈庄镇,3.70522E+11,370000
80,四川省,南充市,5.113E+11,南部县,5.11321E+11,老鸦镇,5.11321E+11,510000
81,重庆市,市辖区,5.001E+11,武隆区,5.00156E+11,后坪苗族土家族乡,5.00156E+11,500000
82,陕西省,宝鸡市,6.103E+11,金台区,6.10303E+11,蟠龙镇,6.10303E+11,610000
83,辽宁省,丹东市,2.106E+11,宽甸满族自治县,2.10624E+11,大川头镇,2.10624E+11,210000
