ID,乡镇级,Rural
1,黄泥冈镇,1
2,均坪镇,1
3,小庄子镇,1
4,新安朝鲜族镇,1
5,大河乡,0
6,待补镇,1
7,麻坪镇,1
8,翟镇,1
9,孟庙镇,1
10,邓湾乡,0
11,鸡峰镇,1
12,大通镇,1
13,香隅镇,1
14,大渠街道办事处,1
15,程委镇,1
16,马村街道办事处,1
17,顾集镇,1
18,街河市镇,1
19,朝阳川镇,1
20,武当山特区,1
21,刁翎镇,1
22,肯通乡,0
23,那阳镇,1
24,秉烈彝族乡,0
25,石良镇,1
26,瓦洛乡,0
27,羊安满族乡,0
28,阿勒玛勒镇,1
29,西港镇,1
30,方山镇,1
31,木吉镇,1
32,劳动镇,1
33,顺河镇,1
34,黑山镇,1
35,博斯腾湖乡,0
36,同江镇,1
37,陶村乡,0
38,韩道口镇,1
39,东团堡乡,0
40,大马营镇,1
41,裕华街道办事处,1
42,团结乡,0
43,哨冲镇,1
44,艾力西湖镇,1
45,龙潭镇,1
46,磷溪镇,1
47,宝山街道办事处,1
48,张家砭镇,1
49,中心镇,1
50,铁柳镇,1
51,笔山镇,1
52,陈庄镇,1
53,老鸦镇,1
54,后坪苗族土家族乡,0
55,蟠龙镇,1
56,大川头镇,1
57,竹贤乡,0
58,瑶岗仙镇,1
59,大孟庄镇,1
60,新景乡,0
61,默戎镇,1
62,牛岗乡,0
63,东陂镇,1
64,兴隆街道办事处,1
65,双塘镇,1
66,长江埠街道办事处,1
67,仙人乡,0
68,轮台镇,1
69,高山镇,1
70,彭原镇,1
71,田妥镇,1
72,水峪贯镇,1
73,豆坝镇,1
74,国宝乡,0
75,日松乡,0
76,北宋镇,1
77,江尾镇,1
78,花梨镇,1
79,华凤街道,1
80,罗田镇,1
81,曹王镇,1
82,团山寺镇,1
83,阜昌街道办事处,1
84,高坪镇,1
85,富乡乡,0
86,曹镇乡,0
87,内莞镇,1
88,安口镇,1
89,大隐镇,1
90,开库康乡,0
91,卧凤沟乡,0
92,抛沙镇,1
93,长校镇,1
94,黄花乡,0
95,塔温敖宝镇,1
96,西柯镇,1
97,城东街道,1
98,曹川镇,1
99,马川子乡,0
100,鸭江镇,1
101,熊山街道,1
102,友谊乡,0
103,辽市镇,1
104,乐白道街道办事处,1
105,果园镇,1
106,光明山镇,1
107,李店镇,1
108,戴庄镇,1
109,北留镇,1
110,五宝镇,1
111,富屯街道办事处,1
112,宝云街道办事处,1
113,双庙子镇,1
114,金斗镇,1
115,盘陀镇,1
116,八路镇,1
117,照阳河镇,1
118,万安镇,1
119,兴胜镇,1
120,中洲镇,1
121,燕坊镇,1
122,华士镇,1
123,商户地乡,0
124,博美镇,1
125,北盘江镇,1
126,上土市镇,1
127,十字镇,1
128,鸡场镇,1
129,南河店镇,1
130,卜宜乡,0
131,古龙冈镇,1
132,水泉乡,0
133,沙锅屯乡,0
134,琅琊镇,1
135,范坡镇,1
136,程江镇,1
137,湖寮镇,1
138,昆河镇,1
139,尕多乡,0
140,三源浦朝鲜族镇,1
141,北安乡,0
142,进宝塘镇,1
143,都安乡,0
144,黄梅镇,1
145,彭集街道办事处,1
146,屯垦镇,1
147,黄庄镇,1
148,余家桥乡,0
149,石岗乡,0
150,富良棚乡,0
151,和平镇,1
152,四所楼镇,1
153,瑷珲镇,1
154,兰岗镇,1
155,银州街道办事处,1
156,高桥镇,1
157,金鸡镇,1
158,张楞乡,0
159,雅邑镇,1
160,火烧坪乡,0
161,嘎塔乡,0
162,平山镇,1
163,扎曲乡,0
164,银杏树镇,1
165,九龙街道办事处,1
166,前詹镇,1
167,栾川乡,0
168,平陌镇,1
169,中卫乡,0
170,张村镇,1
171,长滩镇,1
172,栾城镇,1
173,阳和街道办事处,1
174,阿勒腾也木勒乡,0
175,西湖镇,1
176,忠路镇,1
177,姜驿乡,0
178,新塘街道办事处,1
179,木黄镇,1
180,铁干里克镇,1
181,洛俄依甘乡,0
182,东浦街道,1
183,三棵树镇,1
184,西港镇,1
185,龙渠乡,0
186,万城镇,1
187,西戌镇,1
188,石横镇,1
189,刘官庄镇,1
190,中连川乡,0
191,安民镇,1
192,梅田湖镇,1
193,草庙集乡,0
194,那林镇,1
195,沙河镇,1
196,河口镇,1
197,水东镇,1
198,水泉镇,1
199,一都镇,1
200,蓼南乡,0
201,锁簧镇,1
202,马投涧镇,1
203,菱角镇,1
204,刘杖子乡,0
205,沙梨乡,0
206,透堡镇,1
207,杨家湾镇,1
208,新洲镇,1
209,泗南江镇,1
210,岩坦镇,1
211,泾川镇,1
212,司竹镇,1
213,老店镇,1
214,枫林镇,1
215,峰峰镇,1
216,三河镇,1
217,固城乡,0
218,洞嘎镇,1
219,十里塬镇,1
220,萨尔托海乡,0
221,云甸镇,1
222,笆篱镇,1
223,恰尔巴格镇,1
224,龙潭镇,1
225,茶马镇,1
226,莲上镇,1
227,德耀镇,1
228,文殊镇,1
229,武陵山乡,0
230,大兆街道办事处,1
231,次丘镇,1
232,张程乡,0
233,关索街道办事处,1
234,李埝乡,0
235,南山镇,1
236,聚源镇,1
237,剑斗镇,1
238,狮山镇,1
239,徐家庄乡,0
240,赵石畔镇,1
241,龙港镇,1
242,禾丰镇,1
243,八里罕镇,1
244,温水镇,1
245,树苴乡,0
246,冯家镇,1
247,新袁镇,1
248,山下湖镇,1
249,龙关镇,1
250,房山镇,1
251,崇义镇,1
252,昄大乡,0
253,日照街道,1
254,中馆镇,1
255,安子岭乡,0
256,溪口镇,1
257,龙门乡,0
258,望都镇,1
259,黄茂营乡,0
260,玉龙镇,1
261,柏坊镇,1
262,刘楼镇,1
263,城关街道办事处,1
264,韩集乡,0
265,书古镇,1
266,黄花店镇,1
267,青山镇,1
268,勐戛镇,1
269,繁荣乡,0
270,白鹿镇,1
271,龙田乡,0
272,惠济乡,0
273,大河店镇,1
274,东陵满族乡,0
275,大坝镇,1
276,杏林镇,1
277,黄湾乡,0
278,谷里镇,1
279,犁市镇,1
280,三合满族朝鲜族乡,0
281,古交镇,1
282,富国街道办事处,1
283,狮子屯乡,0
284,克尔碱镇,1
285,张家洼街道办事处,1
286,纳如乡,0
287,刘集镇,1
288,修梅镇,1
289,抱由镇,1
290,钢山街道办事处,1
291,道字乡,0
292,塘田市镇,1
293,头陂镇,1
294,桃园街道办事处,1
295,王江泾镇,1
296,湾潭镇,1
297,路阳镇,1
298,澄照乡,0
299,桑坪镇,1
300,常胜镇,1
301,界牌镇,1
302,沙市镇,1
303,沙河街道办事处,1
304,黄荆镇,1
305,涛源镇,1
306,明集乡,0
307,梅林镇,1
308,巽宅镇,1
309,户育乡,0
310,黄峪镇,1
311,桐木镇,1
312,大鲸港镇,1
313,麻万镇,1
314,无定河镇,1
315,师岗镇,1
316,南湖镇,1
317,容美镇,1
318,崇头镇,1
319,大布镇,1
320,林山乡,0
321,塔山镇,1
322,南屏乡,0
323,青树镇,1
324,乌鲁却勒镇,1
325,洪洋乡,0
326,彭店子乡,0
327,西碱厂乡,0
328,九运街镇,1
329,陶厂镇,1
330,船塘镇,1
331,上江圩镇,1
332,木林镇,1
333,澄源乡,0
334,林堤乡,0
335,南市镇,1
336,金锁关镇,1
337,莲花办事处,1
338,西苏镇,1
339,盘江镇,1
340,万宝桥街道办事处,1
341,中寨苗族彝族布依族乡,0
342,铁厂镇,1
343,七都乡,0
344,草沟堡乡,0
345,罗湾乡,0
346,东里镇,1
347,草桥镇,1
348,沙镇镇,1
349,方山镇,1
350,莲城街道,1
351,春华镇,1
352,措玛乡,0
353,永安街道办事处,1
354,午极镇,1
355,南蔡村镇,1
356,大港头镇,1
357,磨山镇,1
358,隔蒲潭镇,1
359,古龙镇,1
360,蓄集乡,0
361,猴桥镇,1
362,桥头镇,1
363,安州街道办事处,1
364,拉玉乡,0
365,长梁镇,1
366,新集镇,1
367,白中镇,1
368,大田镇,1
369,湍河街道办事处,1
370,茶洞镇,1
371,磁钟乡,0
372,北宿镇,1
373,翟营乡,0
374,枫溪街道,1
375,石龙镇,1
